Shift shiftarea shift_ratio  ARL  Std  Q1  Med  Q3  Max
 1.200 0.040 0.100    49.4552     1.2608     9.0000    19.0000    44.0000  1062.0000     0.0000
 1.200 0.030 2.000    16.1132     0.1850     7.0000    13.0000    21.0000   145.0000     0.0000
 1.200 0.030 1.900    16.4112     0.1852     7.0000    13.0000    21.0000   114.0000     0.0000
 1.200 0.030 1.800    16.6052     0.1922     7.0000    13.0000    22.0000   196.0000     0.0000
 1.200 0.030 1.700    16.0488     0.1834     7.0000    13.0000    21.0000   109.0000     0.0000
 1.200 0.030 1.600    16.4096     0.1846     7.0000    13.0000    22.0000   107.0000     0.0000
 1.200 0.030 1.500    16.4342     0.1863     7.0000    13.0000    22.0000   151.0000     0.0000
 1.200 0.030 1.400    16.4350     0.1879     7.0000    13.0000    22.0000   130.0000     0.0000
 1.200 0.030 1.300    16.7156     0.1887     7.0000    13.0000    22.0000   119.0000     0.0000
 1.200 0.030 1.200    16.6934     0.2009     7.0000    13.0000    22.0000   223.0000     0.0000
 1.200 0.030 1.100    17.0256     0.2086     7.0000    13.0000    22.0000   197.0000     0.0000
 1.200 0.030 1.000    17.4624     0.2426     7.0000    13.0000    22.0000   308.0000     0.0000
 1.200 0.030 0.900    18.1568     0.2771     7.0000    13.0000    23.0000   461.0000     0.0000
 1.200 0.030 0.800    18.6060     0.2923     7.0000    13.0000    23.0000   372.0000     0.0000
 1.200 0.030 0.700    20.2222     0.3909     8.0000    14.0000    24.0000   601.0000     0.0000
 1.200 0.030 0.600    21.2876     0.3942     8.0000    14.0000    24.0000   446.0000     0.0000
 1.200 0.030 0.500    23.5590     0.5421     8.0000    14.0000    25.0000   697.0000     0.0000
 1.200 0.030 0.400    25.9924     0.6402     8.0000    15.0000    27.0000   868.0000     0.0000
 1.200 0.030 0.300    28.1206     0.6613     9.0000    16.0000    29.0000   618.0000     0.0000
 1.200 0.030 0.200    35.4700     0.9154     9.0000    17.0000    32.0000  1092.0000     0.0000
 1.200 0.030 0.100    47.8182     1.2147    10.0000    20.0000    45.0000  1285.0000     0.0000
 1.200 0.020 2.000    21.5694     0.2606     9.0000    17.0000    28.0000   196.0000     0.0000
 1.200 0.020 1.900    21.7420     0.2560     9.0000    17.0000    29.0000   173.0000     0.0000
 1.200 0.020 1.800    21.2626     0.2500     9.0000    16.0000    28.0000   151.0000     0.0000
 1.200 0.020 1.700    21.7614     0.2635     9.0000    17.0000    29.0000   187.0000     0.0000
